3.003617891200475176e-01,8.933876832753234742e-01
3.003617891200475176e-01,8.933876832753234742e-01
3.990146542742024072e-01,8.415296627656172479e-01
2.920781905747865496e-03,9.985737422816073350e-01
4.777884208802988392e-02,9.452462488417541220e-01
6.569594125373959259e-02,8.919186775366546582e-01
1.150006475850794962e-01,8.815467931198260887e-01
1.553685541435599060e-01,8.726443816331455050e-01
1.852739537809232617e-01,8.667242090837594670e-01
5.226905069509964891e-02,8.785650992392559644e-01
4.110030490028874217e-01,8.000430594812614205e-01
1.061074809630055127e-01,8.074327049607944451e-01
3.691529270613876368e-01,7.525924455137936731e-01
2.480927305701952912e-01,7.273984442523766525e-01
2.271676695994453987e-01,7.273984442523766525e-01
4.333225877699289214e-02,6.355227483317371640e-01
8.217442676820520264e-02,6.488764044943821085e-01
8.518240428275043741e-02,6.414862139581237743e-01
9.115478899907644705e-02,6.518580983749522328e-01
1.793451865058774408e-01,6.770526446930935638e-01
1.823531640204227866e-01,5.866897147796025225e-01
0.000000000000000000e+00,4.770524110973544674e-01
4.453986965210837146e-01,7.437337942955917214e-01
1.763808028683545859e-01,5.289109766637850596e-01
2.107763718390247010e-01,5.215207861275276136e-01
9.268053542109727649e-02,3.007345028693343414e-01
8.980299392850360496e-03,5.034525450255782769e-02
2.092501384223418442e-02,6.810686226416558242e-02
4.633592953067844356e-01,7.422643213654447347e-01
1.524913582600818385e-01,2.474070094294811006e-01
3.034569543886376786e-01,4.963262398093853944e-01
2.765595322658195854e-01,4.429987463695330141e-01
4.110902367569321814e-01,6.430421951770265432e-01
2.541522794763082516e-01,3.748485910283660405e-01
1.868869272307518425e-01,2.385478131545548386e-01
1.719342274120701786e-01,2.118837939062656051e-01
1.569815275933885146e-01,2.089021000256953975e-01
1.689262498975249438e-01,1.792563868968359841e-01
1.584637194121499559e-01,1.851770266377001928e-01
1.270761279560251866e-01,1.570440795159891711e-01
3.439552184215442787e-02,0.000000000000000000e+00
3.572517986342736429e-01,4.044943041572254816e-01
2.286934552952292199e-01,5.483971439027642697e-02
3.064213380261605058e-01,7.260132215188418170e-02
3.034133605116151600e-01,6.369891066520270984e-02
3.333187601489785989e-01,1.289105873375538114e-01
3.527615507534408446e-01,2.059636213568795393e-01
3.736866902717168037e-01,3.245027914690830073e-01
4.364618731839663424e-01,5.378561361707426824e-01
4.304895120318982804e-01,3.941224197403969676e-01
4.005840338470087469e-01,2.267069229990574808e-01
